polymer,size_class,shape,aging,n_scenarios,baseline_mean_risk,mc_mean_risk,mc_sd_risk,mean_prob_severe,mean_prob_high_or_severe,mean_uncertainty_band,stable_classification_rate
PET,nano-scale,fiber,pristine,432,0.46443796730074677,0.4643721392308437,0.01649664391768961,0.017145061728395063,0.3436342592592592,0.053833785125146104,0.8541666666666666
PVC,small microplastic,fiber,UV-aged,216,0.4641505833092741,0.46429301547486906,0.01657316118450672,0.020138888888888887,0.3478858024691358,0.05421612437838851,0.8518518518518519
PP,small microplastic,fiber,UV-aged,216,0.4631464279392732,0.4630662090528429,0.01642581886111574,0.021975308641975305,0.3465895061728395,0.05335098872532179,0.8611111111111112
PS,larger microplastic,fragment,oxidized,216,0.46113506708388646,0.46118355801190297,0.016439870304289228,0.01941358024691358,0.3423302469135802,0.05374178707232296,0.8518518518518519
PET,submicron-to-small,sphere,oxidized,216,0.4607694138110797,0.4606703032446738,0.016362054778420967,0.015725308641975307,0.3371141975308642,0.05332327182522061,0.8472222222222222
PET,small microplastic,fragment,oxidized,216,0.4607325745888724,0.4606070213379515,0.016432660227198602,0.017361111111111112,0.3397530864197531,0.053554955615743575,0.8518518518518519
PE,nano-scale,fragment,pristine,432,0.4600865482837191,0.4600749326138228,0.01630537224407941,0.01965277777777778,0.336875,0.05318723871270011,0.8541666666666666
PE,larger microplastic,fiber,oxidized,216,0.459912978341061,0.45983007461650727,0.016339469449430287,0.01979938271604938,0.3394135802469136,0.05328161359741198,0.8564814814814815
PET,nano-scale,sphere,UV-aged,432,0.4595581702086696,0.45955945298707246,0.016300310689838053,0.01341820987654321,0.3322376543209877,0.05311366351185524,0.8518518518518519
PVC,larger microplastic,fiber,oxidized,216,0.4585570608724082,0.4585838993143401,0.01625294047058468,0.016265432098765433,0.3343055555555555,0.053078837742791755,0.8379629629629629
PE,submicron-to-small,sphere,UV-aged,216,0.4586617346728636,0.4584627049642745,0.016251221928284737,0.020540123456790123,0.33467592592592593,0.053140378625164,0.8472222222222222
PET,small microplastic,fiber,UV-aged,216,0.4577874678057641,0.4578285493016893,0.016201612398442176,0.015570987654320988,0.333287037037037,0.05289293777792512,0.8379629629629629
